"CURRICULUM_STEP_NO","QUESTION","MEANING","ANSWER","DISTRACTOR_1","DISTRACTOR_2","DISTRACTOR_3","DISTRACTOR_4"
23,write,쓰다,"2",구르다,쓰다,함께 하다,춤추다
23,worry,걱정하는,"3",어지러운,흥미로운,걱정하는,귀여운
23,strawberry,딸기,"4",배,포도,참외,딸기
23,food,음식,"3",치아,머리,음식,발
23,make,만들다,"3",굽다,느끼다,만들다,먹다
23,sad,슬픈,"2",기쁜,슬픈,화난,들뜬
23,roll,구르다,"3",감다,놀다,구르다,치다
23,mop,자루걸레로 닦다,"1",자루걸레로 닦다,정리하다,미소 짓다,버리다
23,sleep,잠자다,"3",정리하다,치다,잠자다,공부하다
23,put on,입다,"4",벗다,내리다,올리다,입다
23,enough,충분한,"4",부족한,원하는,많은,충분한
23,bed,침대,"3",욕조,아침,침대,빵
23,square,정사각형,"4",원,삼각형,직사각형,정사각형
23,leg,다리,"3",눈,어깨,다리,머리
23,mouth,입,"1",입,팔,머리,눈
23,knee,무릎,"4",팔꿈치,발가락,어깨,무릎
23,hold,갖고 있다,"3",버리다,끊다,갖고 있다,줍다
23,rug,깔개,"2",봉지,깔개,집,얼룩
23,moose,큰사슴,"4",거위,사슴,박쥐,큰사슴
23,pet,애완동물,"2",큰쥐,애완동물,물고기,박쥐
23,hop,깡총 뛰다,"1",깡총 뛰다,당기다,밀다,던지다
23,tug,힘껏 당기다,"3",당기다,밀다,힘껏 당기다,부채질 하다
23,sit,앉다,"1",앉다,서다,입다,열다
23,with,함께,"2",위에,함께,아래에,옆에
23,with,~와 함께,"1",~와 함께,~로부터,~위에,~아래에
23,buy,사다,"3",살다,먹다,사다,팔다
23,seat,자리,"1",자리,의자,책상,신발
23,lady,숙녀,"2",신사,숙녀,어린이,할아버지
23,gentleman,신사,"1",신사,숙녀,어린이,할아버지
23,jump,뛰다,"4",기다리다,오다,걷다,뛰다
23,toy,장난감,"3",시계,모자,장난감,티셔츠
23,find,"찾다, 발견하다","2",사용하다,"찾다, 발견하다",대답하다,전화하다
23,child,아이,"1",아이,어른,여자,남자
23,help,돕다,"2","찾다, 발견하다",돕다,팔다,사다
23,cookie,쿠키,"3",케이크,사탕,쿠키,젤리
23,house,집,"3",학교,은행,집,공원
23,India,인도,"2",중국,인도,일본,프랑스
23,week,주,"1",주,하루,년,내일
23,shopping,쇼핑,"1",쇼핑,"캠핑, 야영",파티,춤추기
23,open,열다,"3",자다,잡다,열다,닫다
23,Japanese,일본의,"3",한국의,미국의,일본의,이탈리아의
23,game,게임,"2",춤추기,게임,파티,쇼핑
25,parentheses,괄호,"3",쉼표,[수학의] 식,괄호,다른
25,simplify,단순화하다,"2",도표,단순화하다,가리키다,[수학의] 식
25,nickel,니켈(5센트 동전),"4",소수점,쿼터(25센트 동전),더 많은,니켈(5센트 동전)
25,dollar,달러,"3",소수점,소수,달러,쿼터(25센트 동전)
25,place,자리,"3",천,"그룹, 무리",자리,주어진
25,value,"값, 가치","2",구분 짓다,"값, 가치","그룹, 무리",자리
25,divide,나누다,"3",돌리다,알려주다,나누다,분모
25,tile,타일,"2",돌리다,타일,나누다,세다
25,improper fraction,가분수,"2","양, 합계",가분수,막대 그래프,고쳐 말하다
25,amount,"양, 합계","2",수직선,"양, 합계",대분수,보여주다
